P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
-2.78872910956,0.306266789599,0.791485313125,0.794358760217,0.693789415629,-0.0413543981565,-0.229888479554,-0.411133943121,-0.524659536109,0.215663969991,-0.181869239525,-0.0648280324331,0.616616715962,0.697697592031,-0.652877662654,0.112223925208,-0.0285101624832,0.382485784786,0.263021575864,0.292843092968,0.0653756981242,-0.0530497539871,-0.268959957945,-0.378589324821,-0.196912007679,0.0118420057276,-0.0750398181179,0.260993539671,-0.58796414256,0.236264203354,-0.578775362682,-0.287044655556,0.188269257605,0.139185385275,-0.323253485485
-2.78382139078,0.209483635414,0.995852171724,0.373836235148,0.296266695664,0.347477234435,0.239006639946,0.457159737848,-0.31611971269,0.456796773154,-0.17508932948,0.0355867658131,0.106859505921,0.161444273757,-0.0934575981593,-0.0382365345198,-0.109493791889,-0.119853992165,-0.132847423704,0.164112817356,-0.0770197454029,0.337783235221,-0.0354756903593,0.0473942968421,-0.0397128322435,0.253684554183,0.179360898481,-0.131748893452,-0.114219422873,0.037170668063,-0.15483193473,0.0547310238541,0.0441647726501,0.252407354595,0.18600327191
-2.75339175003,0.0281005722307,1.12688870936,0.285696697244,0.0808941346515,-0.000105764297066,-0.0411766090956,-0.0331167499738,-0.012705869029,0.112033541391,-0.125892621251,-0.144079450344,-0.024092507109,0.103192059238,-0.0804745282709,0.129685496519,0.0142718135204,0.0892659705083,-0.211399977533,0.245575232891,-0.00241334824533,0.500390252995,0.101921305277,0.108136075278,-0.0147618965515,0.0314965243161,-0.155362601634,-0.0522859899134,-0.063642957328,0.00481021201645,0.216947051557,-0.0419791828652,-0.134918580273,0.22330521387,-0.1458313834
-2.85457445099,-0.326917578026,1.10352448913,0.104164262289,0.357609641564,0.532167050636,0.124968032217,0.3817023792,0.0812631339331,-0.222316314249,-0.0394318790856,0.203517752119,-0.410354151849,0.0481368387656,0.0134185935462,0.0361910600153,0.00336318558913,0.0684067214694,0.0350829570633,-0.174927708284,0.102803751859,-0.0862367630896,-0.00175411777349,-0.140712394089,0.268778449791,0.133550024359,0.0146820557662,0.125312358364,-0.095316632038,0.0317174005845,0.0162664018016,-0.139366791412,-0.390663404112,0.062649768446,-0.20983763262
-2.89171526687,-0.468003984228,1.18414909866,0.11853127678,0.217458891455,0.230437863927,0.101685546693,0.0775272055853,0.130354124382,-0.26438075075,-0.1497199026,0.0778403006812,-0.257304057195,-0.153808388687,-0.193050661175,0.00995091022277,-0.157644298769,-0.347920322337,0.119347572725,-0.240191680612,0.338704698062,0.0504760892404,0.168002134462,-0.000196388007695,-0.0115610651191,-0.0453750436763,0.115716025693,-0.0541385622271,0.253687651804,0.0146301376053,0.13804034389,0.039498028995,-0.0283150866872,0.0940659444458,-0.167600098269
-2.87344072514,-0.569542717887,1.12750658648,0.0202898638678,0.00261429313858,-0.0255697885553,0.0927998506782,0.103894996722,0.192652218978,-0.140053984473,-0.146964982573,-0.224425474076,-0.0880820097145,-0.507791087354,-0.230704386029,0.173507636133,-0.0696196160695,-0.351403671884,0.196676838166,-0.218716427053,0.220998156559,0.193028733276,0.108433829126,-0.140262687001,-0.121693916436,-0.297871590336,0.213536348149,0.0484558447755,0.140692159395,0.103308141281,0.254976325986,-0.0880745236629,0.0673479239396,0.00571312686774,0.00736129350954
-2.71937367574,-0.185128827288,1.14177893229,0.127280381076,0.0675041746885,-0.297023232044,-0.210214785066,-0.387739948485,0.0388156656713,0.036345680577,-0.150980953343,0.0963121657213,-0.140218248036,-0.179430469571,-0.145897441145,0.0539468314063,-0.0615489719687,-0.238076232034,0.114182462122,-0.102996664593,0.0153609984313,-0.126753540622,0.272342192128,0.0264084254408,0.0828712375614,-0.100602014333,-0.0885785997647,-0.127671405523,-0.0751648281489,0.0287504473907,0.051634550803,0.00162974561255,-0.257120426852,-0.0818979357115,-0.0168445997029
-2.79076715618,0.0616843332694,0.967810308053,0.303643626639,0.445469497613,0.541796135637,0.202283525837,0.0999597342324,-0.336791427448,0.352201406037,-0.0534844469018,0.0472549959261,-0.183379519213,-0.101773231017,0.0661929184407,0.10729444871,-0.0812969273228,-0.138658594186,-0.245444714788,0.147047821708,0.317550654771,0.116709222143,0.329254837424,0.00835972365574,0.139192045822,0.067895925456,0.000340633064145,-0.123307174779,-0.099592451977,-0.126169038425,-0.265591303731,0.0025513405395,-0.241989982087,-0.232543459574,0.0644771770077
-2.84230571334,-0.0612290255011,1.04892006411,0.417330221855,0.352539906524,-0.00915065856984,-0.0518019708725,-0.377298137707,-0.315533576515,0.14575108653,-0.207740179716,0.266519509922,0.0876485474868,0.296884598548,0.023249154745,0.103663499551,-0.0850321197634,-0.080759276142,0.0166676849205,0.110611168671,0.113890958273,0.117220975978,0.238600059195,0.151363448199,-0.0383578443064,-0.0836881001065,-0.0574963958028,-0.00251038016177,0.0300238012703,-0.0199349715875,0.0361392151531,-0.0443045609273,-0.0863937020436,0.0488145696362,-0.102339429915
